FID,date_ech,valeur,qualif,source,type_zone,code_zone,lib_zone,val_no2,val_so2,val_o3,val_pm10,val_pm25,couleur
ind_sudpaca_agglo.fid--48cd4d03_16e33f8e82e_-3df6,01-01-2018 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e33f8e82e_-3df5,01-01-2018 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,4,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e33f8e82e_-3df4,01-01-2018 00:00:00,3,Bon,AtmoSud,commune,13001,Aix-en-Provence,2,0,3,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e33f8e82e_-3df3,01-01-2018 00:00:00,3,Bon,AtmoSud,commune,13055,Marseille,2,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e33f8e82e_-3df2,01-01-2018 00:00:00,4,Bon,AtmoSud,commune,83137,Toulon,1,0,4,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e33f8e82e_-3df1,01-01-2018 00:00:00,3,Bon,AtmoSud,commune,84007,Avignon,2,0,3,2,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e33f8e82e_-3df0,01-01-2019 00:00:00,4,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e33f8e82e_-3def,01-01-2019 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,3,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e33f8e82e_-3dee,01-01-2019 00:00:00,4,Bon,AtmoSud,commune,13001,Aix-en-Provence,2,0,3,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e33f8e82e_-3ded,01-01-2019 00:00:00,4,Bon,AtmoSud,commune,13055,Marseille,3,0,2,4,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e33f8e82e_-3dec,01-01-2019 00:00:00,5,Moyen,AtmoSud,commune,83137,Toulon,3,0,3,5,0,#F4B638
ind_sudpaca_agglo.fid--48cd4d03_16e33f8e82e_-3deb,01-01-2019 00:00:00,2,Très bon,AtmoSud,commune,84007,Avignon,1,0,2,1,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e33f8e82e_-3dea,01-02-2018 00:00:00,3,Bon,AtmoSud,commune,06029,Cannes-Grasse-Antibes,3,0,3,3,0,#8DA71E
ind_sudpaca_agglo.fid--48cd4d03_16e33f8e82e_-3de9,01-02-2018 00:00:00,4,Bon,AtmoSud,commune,06088,Nice,4,0,2,4,0,#8DA71E
