INSEE_COM,nom,POP12,ISA,NO2_VL_LD_nb,PM10_VL_nb,PM10_LD_nb,O3_VC_nb,O3_LD_nb,NO2_VL_LD_po,PM10_VL_po,PM10_LD_po,O3_VC_po,O3_LD_po
04001,Aiglun,1352,"37,0082942641397",0,0,0,1314,1352,0,0,0,97,100
04004,Allemagne-en-Provence,521,"39,9795343373109",0,0,77,521,521,0,0,15,100,100
04005,Allons,142,"24,0459971783015",0,0,0,138,142,0,0,0,97,100
04006,Allos,648,"25,2220314977154",0,0,0,648,648,0,0,0,100,100
04007,Angles,65,"26,061136648035",0,0,0,65,65,0,0,0,100,100
04008,Annot,1082,"30,5511968292809",0,0,0,260,1082,0,0,0,24,100
04009,Archail,23,30,0,0,0,20,23,0,0,0,87,100
04012,Aubenas-les-Alpes,105,"35,7371050122809",0,0,0,104,105,0,0,0,99,100
04013,Aubignosc,556,"39,4867233069995",0,0,0,555,556,0,0,0,100,100
04016,Authon,50,"30,6659346673401",0,0,0,48,50,0,0,0,96,100
04017,Auzet,90,"28,6887165901426",0,0,0,0,90,0,0,0,0,100
04018,Banon,1057,"35,0626229847232",0,0,0,1057,1057,0,0,0,100,100
04019,Barcelonnette,2634,"30,9187704767305",0,0,0,0,2634,0,0,0,0,100
04020,Barles,147,"31,0792058463026",0,0,0,46,147,0,0,0,31,100
04021,Barras,145,"35,3637993605241",0,0,0,145,145,0,0,0,100,100
04022,Barrême,457,"32,3123262705662",0,0,0,457,457,0,0,0,100,100
04023,Bayons,232,"32,8211978001827",0,0,0,0,232,0,0,0,0,100
04024,Beaujeu,150,"31,5063237422007",0,0,0,66,150,0,0,0,44,100
04025,Beauvezer,343,"25,0961778425656",0,0,0,341,343,0,0,0,99,100
04026,Bellaffaire,152,"32,8442139908921",0,0,0,0,152,0,0,0,0,100
04027,Bevons,234,"37,6504295580782",0,0,0,222,234,0,0,0,95,100
04028,Beynes,122,"33,3058216985515",0,0,0,122,122,0,0,0,100,100
04030,Blieux,56,"28,4939019081008",0,0,0,55,56,0,0,0,98,100
04031,Bras-d'Asse,560,"37,932107337745",0,0,0,546,560,0,0,0,98,100
04032,Braux,125,"25,7868994622883",0,0,0,125,125,0,0,0,100,100
04033,Ubaye-Serre-Ponçon,698,"31,3011496325335",0,0,0,0,698,0,0,0,0,100
04034,La Brillanne,1027,"44,6554047954356",0,0,955,986,1027,0,0,93,96,100
04035,Brunet,260,"38,1960466968692",0,0,0,258,260,0,0,0,99,100
04036,Le Brusquet,964,"35,4973753650718",0,0,0,963,964,0,0,0,100,100
04037,Le Caire,64,"34,704469375",0,0,0,0,64,0,0,0,0,100
04039,Castellane,1557,"30,8625452793834",0,0,0,1557,1557,0,0,0,100,100
04040,Le Castellard-Melan,60,"31,4534153621107",0,0,0,55,60,0,0,0,92,100
04041,Le Castellet,289,"37,9729097781651",0,0,0,287,289,0,0,0,99,100
04042,Castellet-lès-Sausses,124,"29,0778868297139",0,0,0,118,124,0,0,0,95,100
04043,Val-de-Chalvagne,78,"25,8332994658076",0,0,0,74,78,0,0,0,95,100
04045,Céreste,1242,"45,6162281398883",0,0,1194,1242,1242,0,0,96,100,100
04046,Le Chaffaut-Saint-Jurson,755,"37,2980599829426",0,0,0,746,755,0,0,0,99,100
04047,Champtercier,772,"35,7548181875466",0,0,0,772,772,0,0,0,100,100
04049,Château-Arnoux-Saint-Auban,5184,"42,3866888111401",0,0,0,5184,5184,0,0,0,100,100
04050,Châteaufort,25,"36,7862786516092",0,0,0,6,25,0,0,0,24,100
04051,Châteauneuf-Miravail,78,"33,2487854158881",0,0,0,78,78,0,0,0,100,100
04053,Châteauneuf-Val-Saint-Donat,497,"38,3835716832126",0,0,0,497,497,0,0,0,100,100
04054,Châteauredon,81,"34,8980800607071",0,0,0,81,81,0,0,0,100,100
04055,Chaudon-Norante,178,"30,7186178715589",0,0,0,167,178,0,0,0,94,100
04057,Clamensane,181,"36,6155507136498",0,0,0,0,181,0,0,0,0,100
04058,Claret,250,"38,7294937382265",0,0,0,0,250,0,0,0,0,100
04059,Clumanc,186,"28,8051579646915",0,0,0,186,186,0,0,0,100,100
04061,Colmars,395,"24,046876397349",0,0,0,391,395,0,0,0,99,100
04062,La Condamine-Châtelard,196,"26,8624810883209",0,0,0,19,196,0,0,0,10,100
04063,Corbières,1041,"46,4298625984422",0,0,1041,1014,1041,0,0,100,97,100
04065,Cruis,637,"35,5807842552098",0,0,0,626,637,0,0,0,98,100
04066,Curbans,483,"38,6770830708678",0,0,0,0,483,0,0,0,0,100
04067,Curel,54,"32,5466359110599",0,0,0,51,54,0,0,0,94,100
04068,Dauphin,806,"43,1979767282976",0,0,754,804,806,0,0,94,100,100
04069,Demandolx,118,"25,7290730683918",0,0,0,115,118,0,0,0,97,100
04070,Digne-les-Bains,16844,"41,9632027274507",0,0,3,16844,16844,0,0,0,100,100
04072,Draix,87,"31,3127654018108",0,0,0,77,87,0,0,0,89,100
04073,Enchastrayes,403,"27,4262499816998",0,0,0,65,403,0,0,0,16,100
04074,Entrages,114,"30,4818338687095",0,0,0,114,114,0,0,0,100,100
04075,Entrepierres,396,"36,5768040154156",0,0,0,211,396,0,0,0,53,100
04076,Entrevaux,933,"32,7773393352443",0,0,0,933,933,0,0,0,100,100
