NOM_COM,INSEE_COM,POP14,ISA,NO2_VL_LD_nb,NO2_VL_LD_po,PM10_VL_nb,PM10_VL_po,PM10_LD_nb,PM10_LD_po,O3_VC_nb,O3_VC_po,O3_LD_nb,O3_LD_po
Aiglun,04001,1356,33,0,0,0,0,0,0,1350,100,1356,100
Allemagne-en-Provence,04004,525,36,0,0,0,0,0,0,519,99,525,100
Allons,04005,149,21,0,0,0,0,0,0,149,100,149,100
Allos,04006,639,21,0,0,0,0,0,0,639,100,639,100
Angles,04007,62,22,0,0,0,0,0,0,62,100,62,100
Annot,04008,1054,27,0,0,0,0,0,0,1054,100,1054,100
Archail,04009,18,26,0,0,0,0,0,0,18,100,18,100
Aubenas-les-Alpes,04012,104,33,0,0,0,0,0,0,104,100,104,100
Aubignosc,04013,561,34,0,0,0,0,0,0,537,96,561,100
Authon,04016,48,26,0,0,0,0,0,0,48,100,48,100
Auzet,04017,96,23,0,0,0,0,0,0,96,100,96,100
Banon,04018,996,31,0,0,0,0,0,0,996,100,996,100
Barcelonnette,04019,2698,26,0,0,0,0,0,0,2698,100,2698,100
Barles,04020,142,26,0,0,0,0,0,0,142,100,142,100
Barras,04021,136,31,0,0,0,0,0,0,136,100,136,100
Barrême,04022,435,30,0,0,0,0,0,0,435,100,435,100
Bayons,04023,187,28,0,0,0,0,0,0,187,100,187,100
Beaujeu,04024,141,27,0,0,0,0,0,0,141,100,141,100
Beauvezer,04025,363,21,0,0,0,0,0,0,363,100,363,100
Bellaffaire,04026,150,26,0,0,0,0,0,0,150,100,150,100
Bevons,04027,241,32,0,0,0,0,0,0,241,100,241,100
Beynes,04028,123,30,0,0,0,0,0,0,123,100,123,100
Blieux,04030,59,24,0,0,0,0,0,0,59,100,59,100
Bras-d'Asse,04031,574,34,0,0,0,0,0,0,574,100,574,100
Braux,04032,121,22,0,0,0,0,0,0,121,100,121,100
Ubaye-Serre-Ponçon,04033,708,25,0,0,0,0,0,0,706,100,708,100
La Brillanne,04034,1109,39,0,0,0,0,0,0,1109,100,1109,100
Brunet,04035,261,34,0,0,0,0,0,0,261,100,261,100
Le Brusquet,04036,965,30,0,0,0,0,0,0,965,100,965,100
Le Caire,04037,63,29,0,0,0,0,0,0,63,100,63,100
